Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Price,Doors,Cylinders
BMW,Golf,2022,122740,2.5,181,2113,Gasoline,Automatic,91825,2,4
Nissan,Golf,2010,104098,2.5,175,4440,Gasoline,Manual,46681,4,4
Nissan,Altima,2014,70913,5.0,414,2134,Gasoline,Automatic,105682,4,4
Ford,3 Series,2019,110825,2.5,209,3020,Gasoline,Automatic,68134,4,4
Chevrolet,Camry,2021,114301,2.0,159,2828,Gasoline,Automatic,46650,4,6
Chevrolet,Camry,2003,43493,1.0,50,2643,Gasoline,Automatic,14737,4,4
Honda,Civic,2013,117440,3.0,252,3633,Gasoline,Automatic,69166,4,4
Chevrolet,Tucson,2018,67123,3.0,276,4369,Gasoline,Automatic,69979,4,4
Chevrolet,F-150,2012,86539,2.0,147,2205,Hybrid,Automatic,46598,4,6
Ford,Silverado,2010,102078,1.5,115,2733,Diesel,Automatic,30440,4,4
Audi,F-150,2012,47308,4.0,306,2444,Hybrid,Automatic,146984,4,6
Toyota,3 Series,2003,144729,3.0,218,3150,Gasoline,Automatic,40023,4,6
Mercedes,A4,2018,129046,5.0,443,4008,Hybrid,Automatic,150000,4,8
BMW,Tucson,2007,74318,1.0,76,2798,Gasoline,Manual,44112,4,4
Ford,Civic,2007,49141,2.5,201,3317,Gasoline,Automatic,43431,4,6
BMW,Silverado,2020,78622,5.0,422,4278,Gasoline,Manual,150000,4,4
Audi,Altima,2017,96344,1.0,111,3168,Gasoline,Automatic,50163,4,6
Nissan,F-150,2011,109976,4.0,280,4336,Gasoline,Automatic,66922,4,4
Hyundai,Silverado,2012,172246,6.0,421,3133,Hybrid,CVT,98367,2,8
Toyota,C-Class,2004,134725,1.0,96,3182,Hybrid,Automatic,19904,4,8
Chevrolet,C-Class,2002,134045,3.0,274,3958,Gasoline,Automatic,41664,4,4
Hyundai,Civic,2010,56036,2.5,265,3140,Diesel,Automatic,62513,4,4
Nissan,F-150,2008,72660,2.5,189,2220,Gasoline,Manual,51114,2,4
Ford,Altima,2020,49843,2.0,124,3334,Gasoline,CVT,52827,4,6
Volkswagen,3 Series,2009,70377,6.0,494,2961,Gasoline,Automatic,125048,4,4
Chevrolet,Camry,2008,6011,1.0,97,3712,Diesel,Automatic,25995,4,6
Mercedes,F-150,2002,85835,2.5,214,3260,Gasoline,Manual,74017,4,8
Nissan,F-150,2010,109908,4.0,292,2754,Hybrid,Automatic,86798,4,4
Hyundai,Tucson,2002,88210,2.0,171,3629,Diesel,Automatic,32036,2,4
Hyundai,Silverado,2024,86439,2.5,156,3026,Hybrid,Automatic,69971,4,6
Toyota,Camry,2016,135853,2.5,194,3530,Gasoline,Automatic,51059,4,4
Honda,Golf,2013,120529,5.0,405,3434,Hybrid,Automatic,127506,2,4
Honda,Altima,2003,70625,5.0,429,2485,Gasoline,Automatic,100058,4,4
Honda,Civic,2013,25835,4.0,342,1800,Hybrid,Manual,122660,4,4
Ford,Camry,2000,71753,1.0,79,3539,Gasoline,CVT,12126,2,4
Honda,F-150,2023,793,2.5,172,2267,Diesel,Automatic,97751,4,6
Chevrolet,Camry,2001,87274,3.0,225,2714,Gasoline,Manual,44831,4,6
Audi,Civic,2021,137384,2.0,124,3757,Gasoline,Automatic,79881,4,6
Chevrolet,Civic,2022,66202,1.5,134,2157,Gasoline,Automatic,52990,4,6
Nissan,3 Series,2013,89303,5.0,407,3948,Gasoline,Manual,97234,4,6
Honda,A4,2024,79062,2.0,179,3796,Gasoline,Automatic,71294,4,4
Mercedes,F-150,2014,147452,5.0,369,4242,Gasoline,Automatic,150000,4,4
Audi,C-Class,2015,117336,2.0,132,2393,Gasoline,Automatic,73607,4,8
Volkswagen,A4,2011,43096,6.0,447,4057,Gasoline,Automatic,125333,4,4
Nissan,Altima,2012,114630,1.5,50,2899,Gasoline,Automatic,26240,4,4
Nissan,3 Series,2015,121670,2.5,157,3374,Diesel,Automatic,51362,4,4
Toyota,Civic,2021,126498,2.5,223,3012,Diesel,Automatic,67993,4,4
Audi,Golf,2004,61277,5.0,386,2502,Gasoline,Automatic,144271,4,6
Toyota,Camry,2024,31770,3.0,163,2117,Gasoline,Automatic,78977,4,6
BMW,Altima,2013,45674,1.5,80,2323,Diesel,Automatic,76075,4,6
Ford,3 Series,2019,128415,2.5,214,3212,Diesel,Automatic,65125,4,4
Mercedes,F-150,2013,41758,6.0,492,1800,Gasoline,Automatic,150000,2,4
Ford,Silverado,2016,140755,6.0,469,3922,Gasoline,Automatic,103276,2,6
BMW,Civic,2019,6578,6.0,512,2953,Gasoline,Automatic,150000,4,6
Mercedes,A4,2002,114940,1.0,112,1894,Gasoline,Manual,30985,4,4
Chevrolet,Civic,2005,65212,6.0,434,3172,Electric,Automatic,139963,4,4
Hyundai,Silverado,2019,89758,1.5,124,2729,Gasoline,Manual,42378,4,4
Mercedes,Camry,2008,105890,1.5,130,3347,Gasoline,Automatic,47156,4,4
Toyota,A4,2018,131325,1.0,80,2496,Diesel,Manual,34401,4,4
Chevrolet,3 Series,2012,101691,5.0,366,3250,Hybrid,Automatic,91134,4,6
Audi,F-150,2013,106436,1.0,82,3212,Hybrid,Automatic,45307,4,4
Ford,Camry,2001,0,2.0,180,3162,Gasoline,CVT,45147,4,4
Volkswagen,Tucson,2013,80039,1.0,56,1999,Gasoline,Automatic,37548,4,6
Hyundai,A4,2012,72815,3.0,181,3697,Gasoline,CVT,56475,4,4
Nissan,A4,2002,114293,3.0,255,4347,Gasoline,Manual,38032,4,6
Audi,Silverado,2004,190501,1.0,86,3077,Gasoline,Automatic,18297,4,4
Honda,Tucson,2022,102849,1.0,149,3184,Gasoline,Automatic,49862,4,4
Mercedes,Altima,2018,63016,3.0,206,2797,Gasoline,Automatic,114503,4,4
Volkswagen,Civic,2004,48080,5.0,405,3360,Gasoline,Automatic,92403,4,6
Chevrolet,Altima,2021,124025,3.0,159,2072,Electric,Manual,78522,4,6
Chevrolet,F-150,2004,75227,3.0,210,2654,Gasoline,Automatic,48449,4,6
Toyota,3 Series,2002,90373,2.5,190,3375,Gasoline,Automatic,46421,2,6
Ford,F-150,2003,73244,3.0,247,2201,Gasoline,Automatic,50275,4,6
BMW,Silverado,2000,34978,5.0,440,3013,Diesel,Automatic,150000,4,6
Chevrolet,Golf,2002,103081,6.0,454,2993,Gasoline,Automatic,88693,4,4
BMW,Silverado,2018,99814,2.5,207,2508,Hybrid,Automatic,124524,4,4
Toyota,Camry,2000,69830,3.0,282,3714,Gasoline,Automatic,57927,4,6
Volkswagen,C-Class,2012,86269,5.0,427,3146,Hybrid,Automatic,132206,4,4
Toyota,Altima,2008,70550,3.0,256,2800,Gasoline,Automatic,72216,4,6
Mercedes,Golf,2017,15008,2.0,155,2707,Diesel,Manual,118727,4,8
Audi,Golf,2004,62041,2.0,125,3709,Electric,CVT,63249,4,4
Mercedes,F-150,2008,34082,5.0,419,2230,Gasoline,Automatic,150000,4,6
Hyundai,Camry,2021,90571,5.0,389,3521,Diesel,Automatic,103470,4,6
Audi,A4,2013,81587,5.0,409,2125,Gasoline,Automatic,150000,4,4
Nissan,Golf,2012,114430,1.5,66,3476,Gasoline,Manual,17861,2,6
Audi,A4,2017,87181,1.0,77,1800,Gasoline,Automatic,64272,4,6
Mercedes,Civic,2012,111759,2.0,128,3530,Gasoline,Automatic,69768,4,4
Mercedes,3 Series,2013,147322,1.5,79,3543,Gasoline,Automatic,28829,4,4
Ford,Civic,2017,65615,4.0,288,3854,Diesel,CVT,86586,4,6
Hyundai,Silverado,2002,115761,6.0,445,3353,Diesel,Automatic,90273,4,8
Mercedes,F-150,2020,71024,1.0,60,2228,Hybrid,Automatic,64830,4,4
Chevrolet,Tucson,2021,99128,1.5,128,3336,Gasoline,Automatic,46606,4,8
Toyota,C-Class,2009,51950,3.0,237,3018,Hybrid,Automatic,75527,4,4
Audi,Silverado,2006,0,5.0,462,3832,Diesel,Manual,150000,4,4
Ford,C-Class,2021,107583,6.0,465,1800,Gasoline,Automatic,117889,4,4
Audi,Civic,2011,95827,5.0,398,2147,Gasoline,Automatic,147282,4,6
BMW,Civic,2009,36030,5.0,408,2734,Gasoline,Automatic,150000,4,4
Volkswagen,C-Class,2008,89750,5.0,393,4137,Hybrid,Manual,106381,4,6
Toyota,A4,2004,145172,6.0,505,3665,Gasoline,Automatic,106519,4,6
Volkswagen,Tucson,2003,21422,4.0,318,3439,Diesel,Manual,83265,4,6
Hyundai,F-150,2001,8128,1.0,67,3134,Diesel,Automatic,28954,4,8
Nissan,A4,2012,139911,6.0,502,3877,Gasoline,CVT,116034,4,6
Audi,Golf,2008,120320,1.5,135,3796,Diesel,Automatic,37469,4,6
Honda,Silverado,2006,47705,2.0,113,3111,Gasoline,Manual,41621,4,4
Nissan,Civic,2004,71815,1.5,97,3752,Gasoline,Automatic,24939,4,4
Toyota,C-Class,2011,67061,1.0,104,3828,Diesel,Automatic,38744,4,4
Mercedes,Altima,2001,104606,1.0,86,3015,Gasoline,Automatic,14911,4,4
Ford,Tucson,2010,100777,2.0,141,3374,Electric,Manual,56557,4,4
Volkswagen,Golf,2015,28004,1.5,131,2712,Hybrid,Manual,59421,4,6
BMW,Camry,2018,71038,3.0,281,1800,Gasoline,Manual,130824,4,6
Toyota,Altima,2014,66133,4.0,288,1964,Gasoline,Automatic,80976,4,6
Mercedes,Silverado,2021,114418,4.0,246,2692,Diesel,Manual,136123,4,4
BMW,C-Class,2012,97258,1.5,140,4968,Gasoline,CVT,40067,4,4
Ford,Tucson,2002,170570,3.0,214,3453,Hybrid,Manual,49833,4,4
Honda,Silverado,2012,111975,1.0,98,3053,Gasoline,Automatic,26181,4,6
