Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Doors,Cylinders,Price
Audi,Q5,2018,107527,3.5,245,3544,Gasoline,Automatic,4,6,74160
Ford,F-150,2024,23814,5.0,274,3690,Gasoline,Automatic,4,4,87842
Honda,HR-V,2024,57267,2.5,161,2830,Gasoline,Manual,4,6,70838
Chevrolet,Malibu,2024,32165,3.5,313,3397,Hybrid,CVT,4,4,93904
Nissan,Sentra,2014,133795,3.0,222,3503,Electric,Automatic,4,4,60636
Honda,CR-V,2022,19919,5.0,382,3781,Gasoline,Automatic,4,4,94216
Volkswagen,Tiguan,2018,49304,3.0,146,3318,Gasoline,Automatic,4,4,65213
Nissan,Altima,2022,105171,4.0,296,3894,Gasoline,Manual,4,6,77863
Nissan,Pathfinder,2006,83722,4.0,217,3709,Hybrid,Automatic,4,4,47575
Mercedes,GLE,2018,35524,2.0,156,3955,Hybrid,Manual,2,4,68673
Audi,Q7,2014,96690,3.0,217,3717,Gasoline,Automatic,4,4,65698
Volkswagen,Tiguan,2013,37244,1.5,115,4616,Electric,Automatic,2,4,52601
Audi,Q5,2014,79333,3.0,216,3805,Gasoline,Automatic,4,4,66507
Nissan,Rogue,2009,66514,2.5,182,3818,Gasoline,Automatic,4,6,41586
Hyundai,Sonata,2020,41267,4.0,273,3844,Gasoline,Automatic,4,4,78084
Ford,Ranger,2011,100,1.5,122,3961,Gasoline,Automatic,2,6,43576
Mercedes,GLE,2006,47284,2.0,101,4164,Gasoline,CVT,4,8,43265
Nissan,Pathfinder,2021,101636,5.0,321,3799,Gasoline,Automatic,4,8,84529
Chevrolet,Silverado,2007,114577,2.0,120,3879,Gasoline,Automatic,2,6,25828
Volkswagen,Jetta,2007,103251,5.0,361,3395,Gasoline,Automatic,4,4,53312
Toyota,RAV4,2010,101255,2.5,188,3574,Gasoline,Manual,4,4,35331
Chevrolet,Silverado,2016,54443,6.0,386,2572,Hybrid,Manual,4,6,93886
Nissan,Sentra,2013,62044,2.0,143,3786,Hybrid,Manual,4,4,44208
Hyundai,Tucson,2010,31340,3.5,204,4555,Gasoline,Automatic,4,6,53241
Honda,Pilot,2024,44651,2.0,96,2723,Hybrid,Manual,4,4,71720
Audi,A6,2013,122377,2.5,275,3783,Gasoline,Automatic,4,4,57347
Chevrolet,Malibu,2011,49843,2.0,97,4284,Gasoline,Automatic,4,4,36008
BMW,5 Series,2017,109757,4.0,327,2915,Electric,Automatic,4,6,86626
Audi,A6,2013,86462,5.0,253,3491,Hybrid,Automatic,4,4,87045
Mercedes,C-Class,2016,66470,3.0,181,3952,Diesel,Automatic,2,4,72858
Hyundai,Sonata,2012,131302,3.0,294,3266,Diesel,Automatic,4,6,47536
Mercedes,E-Class,2009,78528,4.0,246,3981,Hybrid,Automatic,4,6,79222
Toyota,4Runner,2008,69854,5.0,348,3698,Gasoline,Automatic,4,8,62552
Hyundai,Tucson,2005,73389,2.5,207,4231,Gasoline,Automatic,2,6,32050
Honda,Civic,2007,69895,3.0,181,2710,Gasoline,Automatic,4,6,49958
Hyundai,Sonata,2016,117575,3.5,247,3315,Gasoline,Automatic,2,4,56509
Ford,Mustang,2018,88025,1.5,149,3782,Gasoline,Automatic,4,4,48998
Mercedes,C-Class,2019,100670,2.5,136,2903,Gasoline,Manual,4,6,61340
Toyota,Camry,2021,48520,5.0,349,4828,Hybrid,Automatic,4,8,101542
Ford,F-150,2008,83328,6.0,473,2706,Gasoline,Manual,4,6,71161
Toyota,Camry,2021,61628,4.0,322,1897,Gasoline,Automatic,4,4,84803
Audi,Q7,2024,64213,3.5,269,3148,Gasoline,Automatic,4,8,88451
Mercedes,GLC,2010,62550,6.0,405,3078,Hybrid,Automatic,2,6,98597
BMW,5 Series,2009,113900,3.0,213,2189,Gasoline,Automatic,2,6,51398
BMW,3 Series,2015,49150,4.0,262,3457,Gasoline,Automatic,2,4,77841
Toyota,Camry,2012,85409,2.5,158,3982,Gasoline,Automatic,4,4,43966
Chevrolet,Tahoe,2024,60236,3.0,233,3962,Gasoline,Automatic,4,6,75511
BMW,3 Series,2021,86177,1.5,127,4067,Hybrid,Automatic,4,6,70054
Toyota,RAV4,2009,88764,4.0,302,4189,Gasoline,Automatic,4,6,54194
BMW,X5,2015,53175,3.0,280,3086,Diesel,Automatic,4,6,76533
Mercedes,E-Class,2005,100,5.0,338,2312,Electric,Automatic,4,6,84065
Nissan,Rogue,2022,104253,5.0,373,3311,Gasoline,Automatic,4,4,79998
BMW,X5,2022,54405,3.5,294,2877,Gasoline,Manual,4,4,88927
Toyota,Highlander,2020,78973,2.5,208,2822,Electric,Automatic,4,6,70235
Mercedes,GLE,2023,134882,3.0,247,4395,Hybrid,CVT,4,6,84680
Ford,Mustang,2021,63114,2.5,229,2774,Gasoline,CVT,4,6,68963
Chevrolet,Silverado,2022,67415,3.0,255,2232,Electric,CVT,4,4,76965
Mercedes,GLC,2009,52030,2.0,113,4049,Hybrid,Automatic,2,4,59798
Nissan,Altima,2020,68264,1.5,130,3332,Gasoline,Automatic,4,6,50743
Ford,F-150,2017,100,3.5,296,4090,Gasoline,Automatic,2,6,69552
Ford,F-150,2021,45404,1.5,79,2636,Gasoline,Automatic,4,6,49660
Mercedes,GLE,2006,52944,6.0,390,3754,Hybrid,CVT,4,4,92942
BMW,3 Series,2006,122602,3.0,235,2934,Diesel,Automatic,4,4,48763
Nissan,Rogue,2021,71728,2.5,203,3941,Gasoline,Manual,4,8,64847
Toyota,Camry,2011,30592,3.5,255,3994,Gasoline,Automatic,4,4,55946
